glyph_name,ps_name,sort_design,sort_final
VS16,uniFE0F,19416.1,19416.1
zeroWidthNoBreakSpace,uniFEFF,19422.1,19422.1
objectReplacementCharacter,uniFFFC,19510.1,19510.1
replacementCharacter,uniFFFD,19699.1,19699.1
s-cans.small,,,
uni00CA0306,uni00CA0306,11960,11960
uni00D40306,uni00D40306,11961,11961
uni00EA0306,uni00EA0306,11962,11962
uni00F40306,uni00F40306,11963,11963
uni01A00306,uni01A00306,11964,11964
uni01A10306,uni01A10306,11965,11965
uni01AF0306,uni01AF0306,11966,11966
uni01B00306,uni01B00306,11967,11967
.notdef,.notdef,19900,0
.null,.null,19901,1
nonmarkingreturn,nonmarkingreturn,19902,2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
uni1EAD,uni1EAD,11068.2,11068.2
uni1EA7,uni1EA7,11068.21,11068.21
uni1EA9,uni1EA9,11068.22,11068.22
uni1EAB,uni1EAB,11068.23,11068.23
adieresis,adieresis,11068.24,108
uni1EA1,uni1EA1,11068.25,11068.25
agrave,agrave,11068.26,106
uni1EA3,uni1EA3,11068.27,11068.27
aring,aring,11068.28,110
atilde,atilde,11068.29,109
ae,ae,11068.5,160
ccedilla,ccedilla,11070.1,111
uni0111,dcroat,11071.1,11071.1
eth,eth,11071.5,11071.5
eacute,eacute,11072.11,112
ecircumflex,ecircumflex,11072.12,114
uni1EBF,uni1EBF,11072.13,11072.13
uni1EC7,uni1EC7,11072.14,11072.14
uni1EC1,uni1EC1,11072.15,11072.15
uni1EC3,uni1EC3,11072.16,11072.16
uni1EC5,uni1EC5,11072.17,11072.17
edieresis,edieresis,11072.18,115
uni1EB9,uni1EB9,11072.19,11072.19
egrave,egrave,11072.2,113
uni1EBB,uni1EBB,11072.21,11072.21
